"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1981481";"";"None";"479.56";"0";"3.34";"SID99358891";"O=C(Nc1ccn(CCCN2CCN(Cc3ccc(F)cc3)CC2)c(=O)n1)OCc1ccccc1";"IC50";"'='";"19958.0";"nM";"4.70";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"19.958"
"CHEMBL1469526";"";"None";"327.82";"0";"4.21";"SID26663662";"Cc1ccc(C2N(c3cccc(Cl)c3)C(=O)N3CCCN23)cc1";"IC50";"'='";"11110.0";"nM";"4.95";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"11.11"
"CHEMBL1901645";"";"None";"278.31";"0";"3.89";"SID92764443";"COc1cccc2c3cccc(OC)c3c3[nH]cnc3c12";"IC50";"'='";"15845.0";"nM";"4.80";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"15.845"
"CHEMBL1882719";"";"None";"531.59";"1";"3.24";"SID49733011";"COc1ccccc1N(C(=O)c1snc(C(N)=O)c1N)C(C(=O)NCc1ccccc1)c1ccc(O)cc1";"IC50";"'='";"50019.0";"nM";"4.30";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"50.019"
"CHEMBL1344122";"";"None";"373.25";"0";"3.82";"SID844471";"CC(=O)Nc1cc2c(nc1C)nc(C)n2Cc1ccc(Br)cc1";"IC50";"'='";"15504.0";"nM";"4.81";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"15.504"
"CHEMBL2007329";"";"None";"439.53";"0";"4.90";"SID7976982";"CCSCCO/C(O)=C1\C(C)=NC2=C(C(=O)CCC2)C1c1coc2ccccc2c1=O";"IC50";"'>'";"73465.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"73.465"
"CHEMBL1340528";"";"None";"324.41";"0";"1.40";"SID3715678";"Cc1oc2nc(SCCCC(=O)NCCO)nc(N)c2c1C";"IC50";"'='";"6463.0";"nM";"5.19";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"6.463"
"CHEMBL578512";"";"None";"193.17";"0";"-1.63";"SID4251194";"Cn1ncnc2c(=O)n(C)c(=O)nc1-2";"IC50";"'='";"323.05";"nM";"6.49";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"0.32305"
"CHEMBL1514897";"";"None";"470.62";"0";"3.85";"SID56324274";"Cc1cccc(N(Cc2ccccc2)C(=O)Cc2ccc(S(=O)(=O)N3CCOCC3)s2)c1";"IC50";"'='";"18586.0";"nM";"4.73";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"18.586"
"CHEMBL1401987";"";"None";"471.56";"0";"3.50";"SID4249725";"CCOC(=O)N1CCN(C(=O)C2CCN(c3ncnc4c3sc3cccc(F)c34)CC2)CC1";"IC50";"'='";"14191.0";"nM";"4.85";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"14.191"
