"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"Parent Molecule ChEMBL ID"
"CHEMBL5314410";"THELIATINIB";"Small molecule";"2";"None";"'-tinib'";"C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)N4C[C@H]5CCN(C)[C@H]5C4)cc23)c1";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL5314410': [{'ref_id': 'NCT02601248', 'ref_url': 'https://www.clinicaltrials.gov/ct2/show/NCT02601248', 'ref_type': 'ClinicalTrials'}, {'ref_id': 'http://www.hmplglobal.com/en/theliatinibhmpl-309/', 'ref_url': 'http://www.hmplglobal.com/en/theliatinibhmpl-309/', 'ref_type': 'Other'}]}";"Xiliertinib (INN)|";"CHEMBL5314410"
"CHEMBL4596972";"PUQUITINIB";"Small molecule";"1";"None";"'-tinib'";"c1cnc2ccc(Nc3nc(NC4CC4)c4nc[nH]c4n3)cc2c1";"Epidermal growth factor receptor erbB1 inhibitor";"Compound is most potent against PIK3CD, low potency against EGFR, KDR and PDGFRB";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4545915': [{'ref_id': '10.1158/1538-7445.AM2011-4245', 'ref_url': 'http://cancerres.aacrjournals.org/content/71/8_Supplement/4245', 'ref_type': 'DOI'}, {'ref_id': '26499488', 'ref_url': 'http://europepmc.org/abstract/MED/26499488', 'ref_type': 'PubMed'}, {'ref_id': '26510909', 'ref_url': 'http://europepmc.org/abstract/MED/26510909', 'ref_type': 'PubMed'}]}";"Puquitinib dimesylate dihydrate|Puquitinib mesylate dihydrate|Xc-302";"CHEMBL4596972"
"CHEMBL3545200";"S-222611";"Unknown";"1";"None";"";"None";"Epidermal growth factor receptor erbB1 inhibitor";"Also potent ERBB4 inhibitor";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3545200': [{'ref_id': '24837299', 'ref_url': 'http://europepmc.org/abstract/MED/24837299', 'ref_type': 'PubMed'}, {'ref_id': '25434923', 'ref_url': 'http://europepmc.org/abstract/MED/25434923', 'ref_type': 'PubMed'}]}";"Epertinib (INN)|";"CHEMBL3545200"
"CHEMBL3989970";"MAVELERTINIB";"Small molecule";"2.0";"None";"'-tinib'";"C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C)c3n2)C[C@H]1F";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3989970': [{'ref_id': 'NCT02349633', 'ref_url': 'https://www.clinicaltrials.gov/ct2/show/NCT02349633', 'ref_type': 'ClinicalTrials'}, {'ref_id': '28287730', 'ref_url': 'http://europepmc.org/abstract/MED/28287730', 'ref_type': 'PubMed'}, {'ref_id': '31227004', 'ref_url': 'http://europepmc.org/abstract/MED/31227004', 'ref_type': 'PubMed'}]}";"Mavelertinib (INN, USAN)|";"CHEMBL3989970"
"CHEMBL31965";"CANERTINIB";"Small molecule";"3";"None";"'-tinib'";"C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1";"Epidermal growth factor receptor erbB1 inhibitor";"Canertinib is an irreversible pan-ErbB tyrosine kinase inhibitor.";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL545315': [{'ref_id': '11706399', 'ref_url': 'http://europepmc.org/abstract/MED/11706399', 'ref_type': 'PubMed'}, {'ref_id': '12648472', 'ref_url': 'http://europepmc.org/abstract/MED/12648472', 'ref_type': 'PubMed'}]}";"Canertinib (INN)|Canertinib dihydrochloride (MI, USAN)|";"CHEMBL31965"
"CHEMBL2109388";"FUTUXIMAB";"Antibody";"3";"None";"'-mab'";"None";"Epidermal growth factor receptor erbB1 antagonist";"";"";"CHEMBL203";"Epidermal growth factor receptor";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109388': [{'ref_id': '20068188', 'ref_url': 'http://europepmc.org/abstract/MED/20068188', 'ref_type': 'PubMed'}]}";"Futuximab (INN, USAN)|";"CHEMBL2109388"
"CHEMBL1947204";"ALLITINIB";"Small molecule";"2";"None";"'-tinib'";"C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1";"Epidermal growth factor receptor erbB1 inhibitor";"Irreversible inhibitor, also potent at ERBB4.";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1947204': [{'ref_id': '21789172', 'ref_url': 'http://europepmc.org/abstract/MED/21789172', 'ref_type': 'PubMed'}]}";"Allitinib|Als 1306|Ast 1306|Ast-1306|Ast1306";"CHEMBL1947204"
"CHEMBL3787344";"NAZARTINIB";"Small molecule";"2.0";"None";"'-tinib'";"Cc1cc(C(=O)Nc2nc3cccc(Cl)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)ccn1";"Epidermal growth factor receptor inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3787344': [{'ref_id': '31954624', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/31954624/', 'ref_type': 'PubMed'}]}";"Nazartinib mesylate (USAN)|Nazartinib (INN, USAN)|";"CHEMBL3787344"
"CHEMBL3545235";"SIMOTINIB";"Small molecule";"3";"None";"'-tinib'";"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CC2(CC2)C2(C1)OCCO2";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3545235': [{'ref_id': '24440798', 'ref_url': 'http://europepmc.org/abstract/MED/24440798', 'ref_type': 'PubMed'}, {'ref_id': '24522198', 'ref_url': 'http://europepmc.org/abstract/MED/24522198', 'ref_type': 'PubMed'}]}";"Sim-6802|Simotinib";"CHEMBL3545235"
"CHEMBL3707294";"DEPATUXIZUMAB";"Antibody";"2";"None";"'-mab; -mab'";"None";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3707294': [{'ref_id': '25731184', 'ref_url': 'http://europepmc.org/abstract/MED/25731184', 'ref_type': 'PubMed'}, {'ref_id': '25761639', 'ref_url': 'http://europepmc.org/abstract/MED/25761639', 'ref_type': 'PubMed'}]}";"Depatuxizumab (INN, USAN)|";"CHEMBL3707294"
